Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R506       AP2-00000            16.675mm       65.73mm      16.675mm       65.73mm      17.275mm       65.73mm  T        180.00 R2             
R800       AP2-00000               6.9mm        52.1mm         6.9mm        52.1mm         7.5mm        52.1mm  T        180.00 R2             
SW500      AP8-00137            26.375mm      67.375mm      26.375mm      67.375mm      28.375mm      70.125mm  T        270.00 Can be ordered in low volumes from Mouser
U500       AP6-00407           13.8878mm      81.255mm      13.888mm      81.255mm        15.3mm       80.28mm  T        180.00 ATA6561        
U501       AP6-00407           17.4877mm      68.355mm      17.488mm      68.355mm        18.9mm       67.38mm  T        180.00 ATA663211      
U300       AP6-00008                30mm          44mm          30mm          44mm      22.325mm          50mm  T          0.00 SAMC21N_TQFP100
C600       AP1-00053            37.025mm      59.925mm      37.025mm      59.925mm        37.5mm      59.925mm  B        180.00 CAP-NONPOL     
C601       AP1-00053            41.175mm      60.175mm      41.175mm      60.175mm       41.65mm      60.175mm  B        180.00 CAP-NONPOL     
C602       AP1-00053            41.025mm      71.825mm      41.025mm      71.825mm       40.55mm      71.825mm  B        360.00 CAP-NONPOL     
C603       AP1-00053             39.05mm        69.2mm       39.05mm        69.2mm       39.05mm      69.675mm  B        270.00 CAP-NONPOL     
C604       AP1-00053             38.95mm       67.15mm       38.95mm       67.15mm      38.475mm       67.15mm  B        360.00 CAP-NONPOL     
C605       AP1-00053            36.975mm      64.525mm      36.975mm      64.525mm      36.975mm          65mm  B        270.00 CAP-NONPOL     
C606       AP1-00053             44.45mm       67.15mm       44.45mm       67.15mm      43.975mm       67.15mm  B        360.00 CAP-NONPOL     
C607       AP1-00053            42.475mm      64.525mm      42.475mm      64.525mm      42.475mm          65mm  B        270.00 CAP-NONPOL     
C608       AP1-00053             22.65mm      67.025mm       22.65mm      67.025mm      22.175mm      67.025mm  B        360.00 CAP-NONPOL     
C609       AP1-00053            22.525mm      62.325mm      22.525mm      62.325mm          23mm      62.325mm  B        180.00 CAP-NONPOL     
C610       AP1-00053            46.475mm      71.825mm      46.475mm      71.825mm          46mm      71.825mm  B        360.00 CAP-NONPOL     
C611       AP1-00053              44.5mm        69.2mm        44.5mm        69.2mm        44.5mm      69.675mm  B        270.00 CAP-NONPOL     
C612       AP1-00053            22.625mm       74.65mm      22.625mm       74.65mm      22.625mm      75.125mm  B        270.00 CAP-NONPOL     
C613       AP1-00053            17.975mm      74.625mm      17.975mm      74.625mm      17.975mm       74.15mm  B         90.00 CAP-NONPOL     
C614       AP1-00053             30.05mm       71.75mm       30.05mm       71.75mm      29.575mm       71.75mm  B        360.00 CAP-NONPOL     
C615       AP1-00053            28.075mm      69.125mm      28.075mm      69.125mm      28.075mm        69.6mm  B        270.00 CAP-NONPOL     
C616       AP1-00053              24.6mm        71.7mm        24.6mm        71.7mm      24.125mm        71.7mm  B        360.00 CAP-NONPOL     
C617       AP1-00053           22.7125mm      69.075mm     22.7125mm      69.075mm     22.7125mm       69.55mm  B        270.00 CAP-NONPOL     
C618       AP1-00053            35.525mm      71.825mm      35.525mm      71.825mm       35.05mm      71.825mm  B        360.00 CAP-NONPOL     
C619       AP1-00053             33.55mm        69.2mm       33.55mm        69.2mm       33.55mm      69.675mm  B        270.00 CAP-NONPOL     
C620       AP1-00053              22.7mm        71.7mm        22.7mm        71.7mm        22.7mm      72.175mm  B        270.00 CAP-NONPOL     
C621       AP1-00053            17.975mm        71.7mm      17.975mm        71.7mm      17.975mm      71.225mm  B         90.00 CAP-NONPOL     
C622       AP1-00053             33.45mm        67.1mm       33.45mm        67.1mm      32.975mm        67.1mm  B        360.00 CAP-NONPOL     
C623       AP1-00053            31.475mm      64.475mm      31.475mm      64.475mm      31.475mm       64.95mm  B        270.00 CAP-NONPOL     
C624       AP1-00053                28mm       67.05mm          28mm       67.05mm      27.525mm       67.05mm  B        360.00 CAP-NONPOL     
C625       AP1-00053            26.025mm      64.425mm      26.025mm      64.425mm      26.025mm        64.9mm  B        270.00 CAP-NONPOL     
C700       AP1-00001            9.4163mm        46.6mm      9.4163mm        46.6mm      9.4163mm       46.05mm  T         90.00 CAP-NONPOL     
C701       AP1-00001           33.0745mm     22.4088mm     33.0745mm     22.4088mm     33.0745mm     22.9588mm  T        270.00 CAP-NONPOL     
D700       AP4-00160           27.2258mm     88.0858mm     27.2258mm     88.0858mm     27.7258mm     88.0858mm  T        180.00 LED_12         
J700       AP8-00733             9.085mm      33.285mm       9.085mm      33.285mm       9.085mm      34.555mm  T        270.00 HEADER 1x2     
J701       AP8-00182            11.175mm      41.595mm      11.175mm      41.595mm       8.635mm      40.325mm  T        360.00 HEADER 2x3     
L700       AP3-00005             9.432mm     49.8554mm       9.432mm     49.8554mm       9.432mm     50.5554mm  T        270.00 BLM18PG471SN1  
Q600       AP5-00008            16.925mm      67.525mm      16.925mm      67.525mm        15.7mm      66.575mm  B        360.00 Farnell no: 9844856
R111       AP2-00000              23.4mm       88.45mm        23.4mm       88.45mm        23.4mm       87.85mm  B         90.00 R2             
R112       AP2-00000            24.675mm       88.45mm      24.675mm       88.45mm      24.675mm       89.05mm  B        270.00 R2             
R601       AP2-00011            36.475mm      61.175mm      36.475mm      61.175mm      36.975mm      61.175mm  B        180.00 R2             
R602       AP2-00011              36.5mm       62.45mm        36.5mm       62.45mm          37mm       62.45mm  B        180.00 R2             
R603       AP2-00011             18.75mm      65.025mm       18.75mm      65.025mm       18.25mm      65.025mm  B        360.00 R2             
R604       AP2-00011            41.225mm      64.525mm      41.225mm      64.525mm      41.225mm      65.025mm  B        270.00 R2             
R605       AP2-00011           14.7375mm       62.25mm     14.7375mm       62.25mm     14.7375mm       62.75mm  B        270.00 R2             
R606       AP2-00011            41.725mm       67.15mm      41.725mm       67.15mm      41.225mm       67.15mm  B        360.00 R2             
R607       AP2-00011            43.225mm       69.25mm      43.225mm       69.25mm      43.225mm       69.75mm  B        270.00 R2             
R608       AP2-00011             45.15mm      62.475mm       45.15mm      62.475mm       44.65mm      62.475mm  B        360.00 R2             
R609       AP2-00011             18.95mm      69.725mm       18.95mm      69.725mm       18.45mm      69.725mm  B        360.00 R2             
R610       AP2-00000            15.825mm      70.225mm      15.825mm      70.225mm      15.225mm      70.225mm  B        360.00 R2             
R611       AP2-00000             46.65mm      64.575mm       46.65mm      64.575mm       46.65mm      63.975mm  B         90.00 R2             
R612       AP2-00000            48.675mm       69.25mm      48.675mm       69.25mm      48.675mm       68.65mm  B         90.00 R2             
