Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Manufacturer~String~Manufacturer~100|Field=MPN~String~MPN~100|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=ProjectFullPath~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro.PrjPCB|ReportField=Title~Bill of Materials Fitted For Variant [Default_assembly] of Project [SAMC21N_Xplained_Pro.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~220|ReportField=ReportTime~3:15:37 PM|ReportField=ReportDate~4/10/2017|ReportField=ReportDateTime~4/10/2017 3:15:37 PM|ReportField=OutputName~Bill of Materials Fitted|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default_assembly|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~M.S.K|ReportField=CompanyName~|ReportField=CurrentDate~4/10/2017|ReportField=CurrentTime~3:11:56 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro_TopLevel.SchDoc|ReportField=DocumentName~SAMC21N_Xplained_Pro_TopLevel.SchDoc|ReportField=DocumentNumber~A09-2682|ReportField=DrawnBy~Microchip India|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/8/2017|ReportField=Organization~Microchip India|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.01:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=PCBNumber~A08-2581|ReportField=PCBRevision~2|ReportField=ProjectName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=ProjectTitle~ATSAMC21N-XPRO|ReportField=Revision~4|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Top Level Schematics|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~SAMC21N_Xplained_Pro.PrjPCB|ReportField=DataSourceFullPath~E:\SAMC21N_Xplained_Pro\SAMC21N_XPRO_SVN\06_Hardware\Rev4_Web_release\SAMC21N_Xplained_Pro.PrjPCB
72|Fitted|U700|1|ATECC508A-MAHWF-T|ATMEL|ATECC508A-MAHWF-T|Secure authentication and product validation device, EEPROM, I2C, 2.0 - 5.5V, UDFN8
73|Fitted|XC300|1|32.768kHz|Kyocera Crystal Device Corporation|ST3215SB32768E0HPWBB|Kyocera ST3215SB32768E0HPWBB, 32.768kHz, 9pF, SMD tuning fork crystal
74|Fitted|XC400|1|12.0MHz|Fox  Electronics|FQ5032B-12-C-C-C-200-1|Fox FQ5032B 12.0MHz SMD crystal 738B-12
75|Not Fitted|C107|0|2.2uF|Kemet|T494A225K010AT|Capacitor Tantalum 10V 2.2uF 10% ESR = 6 ohm
76|Not Fitted|C318, C319|0|10p|||Ceramic capacitor, SMD 0402, NP0, 50V, +/-5%
77|Not Fitted|C403|0|4.7n|||Ceramic capacitor, SMD 0402, X7R, 25V, +/-10%
78|Not Fitted|J800|0|HMTSW-103-23-F-D-237|SAMTEC|HMTSW-103-23-F-D-237|2x3 pin header, 2.54mm pitch, Pin-in-Paste THM
79|Not Fitted|J801|0|SSQ-110-21-F-S|SAMTEC|SSQ-110-21-F-S|1x10 receptacle pin header, low insertion force, 2.54mm pitch THM, Pin in Paste
80|Not Fitted|J802, J804|0|SSQ-108-21-F-S|SAMTEC|SSQ-108-21-F-S|1x8 receptacle pin header, low insertion force, 2.54mm pitch THM, Pin in Paste
81|Not Fitted|J803|0|SSQ-106-21-F-S|SAMTEC|SSQ-106-21-F-S|1x6 receptacle pin header, low insertion force, 2.54mm pitch THM
82|Not Fitted|R424|0|1M|KOA|RK73H1ETTP1004F|Thick film resistor, SMD 0402, 1/16W, 1%
83|Not Fitted|XC301|0|16.0MHz|Epson Toyocom|TSX-3225 16.0000MF09Z-AC3|16MHz uXtal, 3.2 x 2.5 mm SMD, CL=9pF, 15PPM, ESR=80ohm(Max.
